BV,AV,Title,Comments_count,Plays_count,Danmu_count
BV1v64y1v7ZV,760023422,【冰冰vlog.006】吸猫猫的喵酱，一天撸到30多只猫！,22668,4852809,25152
BV1jK4y1D7Ft,929491224,【不愧是我 01】再不学单板滑雪，雪季就要结束了！,23693,3857794,39185
BV1uV411v71R,416927818,你可能对人民法院 一 无 所 知,24807,7222432,21728
BV18U4y1W72R,671737528,年年有“鱼”,39095,7234974,87134
BV1yK4y1n7y2,886699788,【冰冰vlog.005】这一大盘肉，紧紧拴着东北人的心,28610,5183722,99797
BV11K4y1D7RX,929066262,虽然隔着1000公里，但是我们千里共此时！干杯！,16032,2839948,34679
BV1BU4y1s7Vs,671435413,【冰冰vlog.004】小王出息了！晚会录制初体验,36179,7392916,54927
BV1YA411H7LM,331153853,“一键三连”！王冰冰喊你来关注央视新闻～,19778,6716278,10666
BV15K411u7t1,501153233,【冰冰vlog.003】出 差 摸 鱼 逛 北 京,46417,10217260,67305
BV1Yv411W71Z,246182323,【冰冰vlog.002】我的行李箱真的不止这一件衣服啊喂(・Д・)ノ,53976,9533853,79862
BV1vy4y1i7bS,800760067,【冰冰vlog.001】带大家看看每个冬天我必去的地方,206598,21848169,161291
